fakeID,b_specialisation_i,b_specialisation_h,b_specialisation_g,b_specialisation_f,b_specialisation_e,b_specialisation_d,b_specialisation_c,b_specialisation_b,b_specialisation_a,b_specialisation_j,q_OpeningDays,q_OpeningHours,q_2017 Average Household Size,q_2017 Total Households,q_2017 HHs: 5th Quintile (68.759 and above),q_5th Quint by Total HH,q_2017 Purchasing Power: Per Capita,q_2017 Total Population,"q_2017 Pop 15+/Edu: University, Fachhochschule",q_Uni by Total Pop,q_2017 Personal Care: Per Capita,q_2017 Medical Products: Per Capita,q_2017 Personal Effects: Per Capita,b_in_kontakt_gewesen,b_gekauft_gesamt
1069_7334,0,0,0,0,0,0,0,0,0,1,4,36,2.1,1045481,195228,0.186735101,23730.35,2194057,324656,0.147970632,593.19,326.28,235.75,1,1
328_2350,0,0,0,1,1,1,0,0,0,0,4,20,2.1,935739,168291,0.179848227,23343.26,1966798,281130,0.142937912,588.54,320.36,230.66,1,1
865_6285,0,0,0,1,0,1,0,0,0,1,0,0,2.1,1026235,189787,0.184935224,23674.18,2149624,320326,0.149014897,592.88,325.57,234.82,1,1
47_307,0,1,1,0,0,0,0,0,0,0,4,20,2.1,1027701,189634,0.184522541,23572.26,2161445,310981,0.143876435,590.84,324.06,233.81,1,0
342_2513,0,0,0,0,0,1,0,0,0,1,5,33,2.1,1093324,207590,0.189870523,23821.63,2302959,334940,0.145438977,593.56,327.75,237.41,1,1
584_4117,0,1,1,0,1,0,0,0,0,0,4,17,2.1,1035026,192802,0.186277446,23729.24,2167697,324246,0.149580869,593.43,327.08,235.73,1,1
995_7075,0,0,0,0,0,0,0,0,0,0,4,23,2.1,1061677,198766,0.1872189,23699.61,2234581,324379,0.145163232,592.21,325.95,235.63,1,1
143_7711,0,0,0,0,0,0,0,0,0,1,0,0,2.4,130326,32431,0.248845204,24058.93,307435,21676,0.070505961,580.52,324.49,248.99,1,1
1055_7298,1,0,1,0,0,0,0,0,1,0,0,0,2.1,1059500,199147,0.18796319,23773.74,2225683,328527,0.147607274,593.51,326.95,236.46,1,1
151_4934,0,1,1,0,0,0,0,1,1,1,4,21,2.1,118470,19188,0.161965054,22865.72,247705,25735,0.103893745,581.96,346.16,234.65,1,1
1136_7653,0,0,0,0,0,0,0,0,0,0,4,30.5,2.1,1041285,194542,0.186828774,23743.39,2183360,325371,0.149023065,593.54,326.6,235.89,1,1
40_733,0,0,0,0,0,0,0,0,0,1,0,0,2.2,223460,45355,0.202966974,23934.95,483856,71107,0.146959013,586.13,325.92,237.37,1,1
212_3289,0,0,0,0,0,0,0,0,0,1,4,12,2.4,79473,17179,0.216161464,22814.26,190866,12134,0.063573397,559.75,322.61,236.52,1,0
473_3367,0,0,0,0,1,0,0,0,0,0,4,29,2.1,1031131,190965,0.185199553,23671.73,2161852,319992,0.148017533,592.65,325.53,234.88,1,0
663_4726,0,1,1,1,0,1,0,0,0,1,5,53,2.1,1036638,192683,0.185872986,23694.23,2174560,321810,0.147988559,592.8,325.87,235.25,1,0
322_4328,1,0,1,0,0,0,0,0,0,1,4,29,2.3,195880,41338,0.21103737,23886.68,442243,36294,0.082068003,581.61,342.65,248.82,1,1
63_428,0,1,1,1,0,1,1,0,1,1,4,36,2.1,1031985,191393,0.185461029,23691.62,2162790,321702,0.148743983,592.99,325.8,235.11,1,1
1225_8005,0,0,0,1,0,1,0,0,0,0,4,32,2.1,1074776,203043,0.188916574,23806.51,2259701,332359,0.147080963,593.74,327.52,237.02,1,1
71_1055,0,0,0,0,0,0,0,0,1,0,5,27,2.5,42702,9192,0.215259238,21834.33,106819,5412,0.050665144,533.24,320.44,227.79,1,1
0_7,0,0,1,0,0,0,0,0,0,0,3,20,2.1,208714,41587,0.199253524,24028.55,445856,68826,0.154368227,589.7,326.52,236.98,1,0
768_5430,0,1,1,0,0,0,0,0,0,0,5,36,2.1,1041382,193769,0.186069089,23693.53,2185867,322168,0.147386826,592.7,325.76,235.27,1,0
801_5580,0,1,0,1,0,0,0,0,0,0,4,36,2.1,1055663,198043,0.187600588,23766.23,2216152,328225,0.148105816,593.58,326.92,236.32,1,1
182_5663,0,0,1,0,0,0,0,0,0,0,5,39,2.2,149201,33180,0.222384568,24704.91,330326,38399,0.116245769,593.31,342.44,253.22,1,0
965_6800,0,1,1,1,0,1,1,0,0,1,4,24,2.1,1071647,202509,0.188969875,23805.83,2253484,331352,0.147039872,593.7,327.39,236.99,1,1
697_4882,0,1,1,0,0,0,0,0,0,1,0,0,2.1,1036552,193001,0.186195193,23711.37,2174284,322876,0.14849762,593.01,326.1,235.45,1,1
47_5043,0,0,0,0,0,0,0,0,0,0,0,0,2.4,25799,5956,0.230861661,23577.79,61617,4011,0.065095672,563.4,343.84,249.45,1,0
229_6864,1,0,0,1,0,0,0,0,1,1,0,0,2.2,144018,31803,0.220826563,24758.74,317026,37449,0.118125958,594.84,343.7,253.57,1,1
129_4359,0,0,0,0,0,0,0,0,0,0,0,0,2.2,67706,11875,0.17539066,22919.72,146344,15266,0.104315859,573.83,347.24,236.54,1,1
281_7289,0,0,0,0,0,0,0,0,0,1,0,0,2.6,11018,2726,0.247413324,22765.11,28310,1456,0.05143059,545.01,309.12,234.34,1,1
385_4993,0,0,1,1,0,0,0,0,0,1,4,20.5,2.2,418423,78456,0.187504033,23318.73,906925,96988,0.106941588,583.9,328.27,236.28,1,1
314_7605,0,0,0,1,0,0,0,0,0,1,3,12,2.2,150716,30501,0.202374001,23854.77,329746,40836,0.123840774,584.85,325.61,237.81,1,1
23_472,0,0,0,0,0,0,0,0,0,1,0,0,2.2,280877,60472,0.215297087,24701.88,615519,56101,0.091144221,596.64,339.47,251.98,1,1
803_5587,0,1,1,1,1,1,0,0,0,1,0,0,2.1,1043301,194510,0.186437088,23717.99,2189176,323734,0.147879385,593.08,326.08,235.57,1,1
1105_7506,0,1,1,1,0,0,0,0,0,0,5,35,2.1,997938,183502,0.183881163,23649.26,2085533,311950,0.149578069,592.9,326,234.5,1,1
1300_8340,0,0,0,0,0,0,0,0,0,0,5,30,2.1,1073094,202589,0.188789612,23789.88,2257368,330592,0.146450202,593.48,327.11,236.82,1,1
85_2379,1,0,0,1,1,0,0,0,0,1,0,0,2.4,37000,7318,0.197783784,22206.3,86955,4864,0.055936979,556.41,310.09,226.35,1,1
759_9314,1,0,1,1,1,0,0,0,0,0,4,20,2.2,250628,51066,0.203752175,23650.67,552400,73890,0.133761767,579.2,323.96,235.72,1,0
740_5294,0,0,0,0,0,0,0,0,0,0,5,45,2.1,1000171,183098,0.183066696,23599.76,2091516,314564,0.150399997,592.34,324.75,233.75,1,1
725_5201,0,0,0,0,0,0,0,0,0,0,4,34,2.1,1027408,189967,0.184899281,23677.97,2150320,320715,0.149147569,593.07,326.32,235.05,1,1
689_8320,0,0,0,0,0,0,0,0,0,1,0,0,2.7,19482,3921,0.201262704,19629.89,52744,1996,0.037843167,498.75,290.12,201.49,1,1
671_4781,0,0,0,0,0,0,0,0,0,0,5,29,2.1,1065143,199620,0.187411456,23741.09,2238384,327710,0.146404728,593.14,326.59,236.14,0,0
468_3313,0,0,0,0,0,0,0,0,0,0,2,9,2.1,1032029,191870,0.185915318,23708.89,2163441,322381,0.149013077,593.11,326.06,235.36,1,0
380_4775,0,0,1,0,0,0,0,0,0,0,5,23,2.2,222571,45197,0.203067785,23905.88,482616,70814,0.146729491,585.54,325.16,236.99,1,0
318_4101,0,0,0,0,0,0,0,0,0,0,5,27,2.5,30368,5972,0.196654373,20975.22,76305,3156,0.04136033,520.98,314.57,216.94,1,0
291_3828,0,0,0,1,0,0,0,0,0,1,3,9,2.2,3041,321,0.105557382,20208.46,6633,241,0.036333484,535.97,356.05,210.67,1,1
234_6974,0,0,0,0,0,0,0,0,0,1,0,0,2.2,151095,33651,0.222714186,24663.38,335321,38679,0.115349173,592.41,341.64,252.77,1,0
231_6877,0,0,0,0,0,0,0,0,0,1,2,10,2.4,121788,26161,0.214807699,22789.46,288953,21687,0.075053728,559.99,315.66,233.03,1,0
146_966,0,1,0,0,0,0,0,0,0,0,4,16,2.1,1032029,191350,0.185411456,23688.53,2161648,321702,0.148822565,593.05,326.43,235.25,0,0
551_7298,1,0,1,0,0,0,0,0,1,1,2,12,2.3,28960,5113,0.176553867,21986.72,67029,3696,0.055140312,549.52,337.64,228.12,0,0
590_7647,0,1,0,1,0,1,0,0,0,0,4,20,2.1,473398,85767,0.181173136,23476.57,990276,133990,0.135305713,590.81,327.88,233.7,1,1
6_34,0,1,0,0,0,0,0,0,0,0,5,33,2.1,1068669,201365,0.188425977,23796.55,2245246,331185,0.147504995,593.77,327.42,236.83,1,0
479_5996,0,0,1,1,0,0,0,0,1,0,5,22,2.2,240150,49017,0.204109931,23761.32,526424,72995,0.138661991,581.6,324.78,236.52,1,1
